FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,04,'-- abitazione, acqua, elettricità, gas e altri combustibili',2017,100.1,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,04,'-- abitazione, acqua, elettricità, gas e altri combustibili',2018,102.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,04,'-- abitazione, acqua, elettricità, gas e altri combustibili',2019,103.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,04,'-- abitazione, acqua, elettricità, gas e altri combustibili',2020,100.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,04,'-- abitazione, acqua, elettricità, gas e altri combustibili',2021,107.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,04,'-- abitazione, acqua, elettricità, gas e altri combustibili',2022,145.1,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,04,'-- abitazione, acqua, elettricità, gas e altri combustibili',2023,150.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,04,'-- abitazione, acqua, elettricità, gas e altri combustibili',2024,142.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,05,'-- mobili, articoli e servizi per la casa',2016,100.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,05,'-- mobili, articoli e servizi per la casa',2017,100.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,05,'-- mobili, articoli e servizi per la casa',2018,100.5,,
